Layer,Name,GEOID,UMP_2012-2016,HDX_2012-2016,INC_2012-2016,POC_2016-2020,CHALYRO_2016
,,,"Unemployment rate (%), 2012-2016","Hardship Index (score), 2012-2016","Median household income, 2012-2016","People of color (% of residents), 2016-2020","Child Opportunity Index 3.0 (ED), 2016"
Community area,Rogers Park,1,8.504513572877206,62.972504962864825,49554.028565890825,55.04637728164608,34.654442144
Community area,Norwood Park,10,5.4095813548225715,25.48356985322108,97173.95208879767,22.00444625911391,57.010877998
Community area,Jefferson Park,11,7.503843108237212,38.28131134308272,84758.01159705805,41.73794882728365,50.24741268
Community area,Forest Glen,12,4.552057997239468,17.079266817084157,146273.52831758704,25.966173701075668,78.559728497
Community area,North Park,13,7.390087169069813,61.0602888441983,74466.64683385128,50.897868900639835,53.61274902
Community area,Albany Park,14,7.592916971607945,66.59574801729221,76593.80996934304,65.50475766154216,38.007948147
Community area,Portage Park,15,7.814533564830802,52.0117580490912,76784.89449749255,52.69909732995115,35.420486693
Community area,Irving Park,16,6.260530100305288,44.35039337801685,82514.02268292998,55.66375537197887,35.030482534
Community area,Dunning,17,5.337868391746731,41.99417463760969,78839.3200759531,40.154571985759546,41.766343053
Community area,Montclare,18,7.470824697612093,61.12014954292985,64882.03474412719,63.174892548188836,25.768150579
Community area,Belmont Cragin,19,10.442466526008715,83.83635091073593,60371.09033413676,85.40090191798392,15.493742221
Community area,West Ridge,2,9.277455499920206,73.95403717476756,71746.54722863504,57.723181840096636,49.514028217
Community area,Hermosa,20,8.721375410560038,84.85694178630453,51753.718521344694,89.98134874048634,6.9385627929
Community area,Avondale,21,6.070592071610099,65.51507026326843,62730.26335016426,64.66149608104799,27.011055482
Community area,Logan Square,22,4.7485062217248295,35.12659386205256,93276.19192704401,47.62138310823538,32.244531849
Community area,Humboldt Park,23,14.93173055850796,90.06875089107399,45044.063628367265,90.7326417557795,6.6218284501
Community area,West Town,24,5.385399791507629,20.662366828164135,108311.15143342088,36.91104374699691,43.991002503
Community area,Austin,25,17.04073643576873,85.10521898678383,46440.558366569254,94.67331025362944,5.7682458618
Community area,West Garfield Park,26,18.65676904799777,95.63158851366335,31313.02637091856,97.07647370589073,3.1250443034
Community area,East Garfield Park,27,18.684724001815816,89.68851030377407,32819.61436122616,93.91239858788124,10.098601127
Community area,Near West Side,28,12.798522179619763,34.06573783451569,85027.90635727021,55.61788892960576,64.011994611
Community area,North Lawndale,29,20.64210055834195,94.02255011408288,33843.809644826964,95.44867093502839,2.758848195
Community area,Uptown,3,7.395400278944366,43.190019914245234,66133.28662158347,46.65286679547689,50.195683826
Community area,South Lawndale,30,9.108743730345443,95.55133463432459,46463.414768462215,94.89343363235369,9.2392817789
Community area,Lower West Side,31,10.189564499471258,80.75819535121813,53646.981697730196,77.26001425150926,29.801149697
Community area,Loop,32,5.920283579354245,2.766569990257163,138845.6465152503,40.95445534460237,71.574648246
Community area,Near South Side,33,4.592362029397013,3.781610157242892,104852.3159111056,48.8105845962213,76.543669021
Community area,Armour Square,34,17.253372796805255,89.08350706618296,32354.22817607692,85.7610798911833,47.486274943
Community area,Douglas,35,16.002214911397896,63.27348470427294,46733.977116463444,89.60875113863602,28.741844081
Community area,Oakland,36,21.206344857852915,83.43180601114486,38189.18103030796,95.90343447382755,20.017330219
Community area,Fuller Park,37,28.94181758243625,93.85643940636032,28455.648966560482,95.16686665102061,11.10447663
Community area,Grand Boulevard,38,23.058257208007735,82.13161150628922,41102.2767252986,95.85940367991566,23.92787079
Community area,Kenwood,39,12.897733013915163,42.342956031396035,62779.30175692213,78.59880046335478,45.445385249
Community area,Lincoln Square,4,6.868009381104059,22.190094235121684,91604.98988949771,35.59936391749264,58.299992341
Community area,Washington Park,40,24.149803736391735,94.54181706557105,31372.10426779609,98.3497543605297,10.152710442
Community area,Hyde Park,41,7.79775740685338,28.808854745468892,75365.3866585975,52.85687808943468,54.654816126
Community area,Woodlawn,42,16.621748503199665,84.28117829407866,33427.020338882954,91.58177817164221,14.535764589
Community area,South Shore,43,20.751443842782027,85.37709742718813,35577.98926366752,97.21255524939528,5.8280235443
Community area,Chatham,44,19.050928642908385,79.98305353697206,49511.71479654966,99.13212666420293,20.260650949
Community area,Avalon Park,45,24.21125918137486,82.811453960392,47053.594297219366,99.1619691380543,10.693394225
Community area,South Chicago,46,23.107740156619478,83.64135701377415,38156.75977588031,97.10195410392977,4.9480396352
Community area,Burnside,47,18.37531385711426,90.3726376713035,30902.472547486366,97.47941223537848,15.006765169
Community area,Calumet Heights,48,14.126782866466838,68.12796269548394,62369.90855975391,99.12446568260435,18.696935472
Community area,Roseland,49,25.613007838636136,84.83346587685314,49898.85465965543,98.52366730685368,14.759009876
Community area,North Center,5,4.437167035928083,5.312208030212693,127745.05426837079,25.353927589988402,87.405169797
Community area,Pullman,50,20.91289313285183,75.19360923762409,47775.58633617448,88.37051950611253,20.403163375
Community area,South Deering,51,24.01873506229324,90.43526915718628,29988.2780081197,95.1204860839116,10.4688918
Community area,East Side,52,17.49695197828954,85.04020653151795,53956.86580930872,87.28369348673338,20.456889682
Community area,West Pullman,53,25.31328148785992,89.13497963748296,48566.08290370775,99.14089488957167,7.7298622954
Community area,Riverdale,54,37.11521369942083,99.4718404920947,19083.872189599846,98.93748968676782,8.5845049926
Community area,Hegewisch,55,6.623293117299889,48.18536931068924,77811.49378033185,63.182259783407616,21.000715129
Community area,Garfield Ridge,56,10.199976264891628,55.93846607619656,83896.10909844287,59.978438394007256,38.082513177
Community area,Archer Heights,57,10.543405884713946,83.6227968295622,64997.2564872694,85.24931434831284,19.935580114
Community area,Brighton Park,58,10.711523930671131,92.21829939764815,49805.3417693981,92.53276099704483,11.585028339
Community area,McKinley Park,59,12.083471972378218,83.72804299286535,56239.187647742096,84.77021680867419,18.292341731
Community area,Lake View,6,3.2243486217684647,2.2361738746270277,119169.09149757482,23.728783631161544,85.463657763
Community area,Bridgeport,60,9.9191814387091,65.29354356002052,60065.27022574557,64.71072845993552,45.929262517
Community area,New City,61,20.287750620452368,93.75026094786824,51462.052788023975,88.18617925685695,3.7456971443
Community area,West Elsdon,62,12.410902517846665,83.1795119963906,64745.921727748355,85.1447426150657,23.58579537
Community area,Gage Park,63,15.981319590140169,94.04283389063315,51437.81583984583,96.3642441485559,14.370921546
Community area,Clearing,64,9.540567367065503,54.12424920541278,83981.98063887071,60.96659187268782,36.586192601
Community area,West Lawn,65,12.873029233855455,84.02632872628269,68895.17858452561,87.95481761009304,27.904988513
Community area,Chicago Lawn,66,24.520729268388813,92.58611800019973,42755.60394011517,97.63523961926879,7.5000921144
Community area,West Englewood,67,33.10467564298479,95.18974819369222,37096.11143470096,98.54354094075764,2.4911385274
Community area,Englewood,68,35.54328851340933,97.17294451482854,28328.792419634363,98.81394592978582,2.0063658061
Community area,Greater Grand Crossing,69,25.455998083245078,88.36572605606776,36285.640086420375,99.166636451768,2.5939481016
Community area,Lincoln Park,7,3.6612600293545445,2.331369515343504,135045.29259111753,19.7913279908336,88.611830476
Community area,Ashburn,70,12.429383389528011,64.30702454895456,87783.03165717158,90.00002409682254,24.757341353
Community area,Auburn Gresham,71,24.33482709857427,84.60847783431787,40103.25794178777,98.99409518514969,4.4247255284
Community area,Beverly,72,6.409909409888928,14.923076394173693,119840.36028945894,43.52193427711237,56.170100606
Community area,Washington Heights,73,18.426902921965592,73.53609033754964,62019.359572625326,98.3429485467147,21.55021485
Community area,Mount Greenwood,74,5.195723439805366,18.114876469392275,116182.1544161367,18.92221723014242,66.887752442
Community area,Morgan Park,75,11.994561098915787,55.26512227579755,73428.43364061083,69.4863053104536,34.783838815
Community area,O'Hare,76,9.060468542051415,49.412753209026015,75893.28043104787,32.64260056390062,50.401100486
Community area,Edgewater,77,6.783009189735081,34.91738196478729,72042.58227145877,46.26689005904003,47.757878694
Community area,Near North Side,8,4.490649098819959,7.337323601777133,123005.81649795335,30.165293648267358,77.868683042
Community area,Edison Park,9,4.117257063395023,6.173333995370961,112478.87572251553,17.26587856455736,66.051876825
