neighborhood_name,community_area,unemployment_rate,hardship_index,median_income,people_of_color_pct,child_opportunity_index
Rogers Park,1,8.504513572877206,62.972504962864825,49554.028565890825,55.04637728164608,34.654442144
Norwood Park,10,5.409581354822572,25.48356985322108,97173.95208879768,22.00444625911391,57.010877998
Jefferson Park,11,7.503843108237212,38.28131134308272,84758.01159705805,41.73794882728365,50.24741268
Forest Glen,12,4.552057997239468,17.079266817084157,146273.52831758704,25.966173701075668,78.559728497
North Park,13,7.390087169069813,61.0602888441983,74466.64683385128,50.89786890063984,53.61274902
Albany Park,14,7.592916971607945,66.59574801729221,76593.80996934304,65.50475766154216,38.007948147
Portage Park,15,7.814533564830802,52.0117580490912,76784.89449749255,52.69909732995115,35.420486693
Irving Park,16,6.260530100305288,44.35039337801685,82514.02268292998,55.66375537197887,35.030482534
Dunning,17,5.337868391746731,41.99417463760969,78839.3200759531,40.154571985759546,41.766343053
Montclare,18,7.470824697612093,61.12014954292985,64882.03474412719,63.17489254818884,25.768150579
Belmont Cragin,19,10.442466526008715,83.83635091073593,60371.09033413676,85.40090191798392,15.493742221
West Ridge,2,9.277455499920206,73.95403717476756,71746.54722863504,57.72318184009664,49.514028217
Hermosa,20,8.721375410560038,84.85694178630453,51753.71852134469,89.98134874048634,6.9385627929
Avondale,21,6.070592071610099,65.51507026326843,62730.26335016426,64.66149608104799,27.011055482
Logan Square,22,4.7485062217248295,35.12659386205256,93276.191927044,47.62138310823538,32.244531849
Humboldt Park,23,14.93173055850796,90.06875089107399,45044.06362836727,90.7326417557795,6.6218284501
West Town,24,5.385399791507629,20.66236682816413,108311.15143342088,36.91104374699691,43.991002503
Austin,25,17.04073643576873,85.10521898678383,46440.55836656925,94.67331025362944,5.7682458618
West Garfield Park,26,18.65676904799777,95.63158851366336,31313.02637091856,97.07647370589072,3.1250443034
East Garfield Park,27,18.684724001815816,89.68851030377407,32819.61436122616,93.91239858788124,10.098601127
Near West Side,28,12.798522179619765,34.06573783451569,85027.90635727021,55.61788892960576,64.011994611
North Lawndale,29,20.64210055834195,94.02255011408288,33843.809644826964,95.4486709350284,2.758848195
Uptown,3,7.395400278944366,43.190019914245234,66133.28662158347,46.65286679547689,50.195683826
South Lawndale,30,9.108743730345443,95.5513346343246,46463.414768462215,94.89343363235368,9.2392817789
Lower West Side,31,10.189564499471258,80.75819535121813,53646.9816977302,77.26001425150926,29.801149697
Loop,32,5.920283579354245,2.766569990257163,138845.6465152503,40.95445534460237,71.574648246
Near South Side,33,4.592362029397013,3.781610157242892,104852.3159111056,48.8105845962213,76.543669021
Armour Square,34,17.253372796805255,89.08350706618296,32354.22817607692,85.7610798911833,47.486274943
Douglas,35,16.002214911397896,63.27348470427294,46733.97711646344,89.60875113863602,28.741844081
Oakland,36,21.206344857852915,83.43180601114486,38189.18103030796,95.90343447382756,20.017330219
Fuller Park,37,28.94181758243625,93.85643940636032,28455.64896656048,95.1668666510206,11.10447663
Grand Boulevard,38,23.05825720800773,82.13161150628922,41102.2767252986,95.85940367991566,23.92787079
Kenwood,39,12.897733013915165,42.34295603139604,62779.30175692213,78.59880046335478,45.445385249
Lincoln Square,4,6.868009381104059,22.190094235121684,91604.98988949772,35.59936391749264,58.299992341
Washington Park,40,24.149803736391732,94.54181706557104,31372.10426779609,98.3497543605297,10.152710442
Hyde Park,41,7.79775740685338,28.80885474546889,75365.3866585975,52.85687808943468,54.654816126
Woodlawn,42,16.621748503199665,84.28117829407866,33427.020338882954,91.5817781716422,14.535764589
South Shore,43,20.751443842782027,85.37709742718813,35577.98926366752,97.21255524939528,5.8280235443
Chatham,44,19.050928642908385,79.98305353697206,49511.71479654966,99.13212666420291,20.260650949
Avalon Park,45,24.21125918137486,82.811453960392,47053.594297219366,99.1619691380543,10.693394225
South Chicago,46,23.10774015661948,83.64135701377415,38156.75977588031,97.10195410392976,4.9480396352
Burnside,47,18.37531385711426,90.3726376713035,30902.472547486366,97.47941223537848,15.006765169
Calumet Heights,48,14.126782866466838,68.12796269548394,62369.90855975391,99.12446568260437,18.696935472
Roseland,49,25.613007838636136,84.83346587685314,49898.85465965543,98.52366730685368,14.759009876
North Center,5,4.437167035928083,5.312208030212693,127745.0542683708,25.3539275899884,87.405169797
Pullman,50,20.91289313285183,75.19360923762409,47775.58633617448,88.37051950611253,20.403163375
South Deering,51,24.01873506229324,90.43526915718628,29988.2780081197,95.1204860839116,10.4688918
East Side,52,17.49695197828954,85.04020653151795,53956.86580930872,87.28369348673338,20.456889682
West Pullman,53,25.31328148785992,89.13497963748296,48566.08290370775,99.14089488957168,7.7298622954
Riverdale,54,37.11521369942083,99.4718404920947,19083.87218959985,98.93748968676782,8.5845049926
Hegewisch,55,6.623293117299889,48.18536931068924,77811.49378033185,63.182259783407616,21.000715129
Garfield Ridge,56,10.199976264891628,55.93846607619656,83896.10909844287,59.978438394007256,38.082513177
Archer Heights,57,10.543405884713946,83.6227968295622,64997.2564872694,85.24931434831284,19.935580114
Brighton Park,58,10.711523930671133,92.21829939764817,49805.3417693981,92.53276099704485,11.585028339
McKinley Park,59,12.083471972378218,83.72804299286535,56239.187647742096,84.77021680867419,18.292341731
Lake View,6,3.2243486217684647,2.236173874627028,119169.09149757482,23.728783631161544,85.463657763
Bridgeport,60,9.9191814387091,65.29354356002052,60065.27022574557,64.71072845993552,45.929262517
New City,61,20.287750620452368,93.75026094786824,51462.052788023975,88.18617925685695,3.7456971443
West Elsdon,62,12.410902517846663,83.1795119963906,64745.92172774836,85.1447426150657,23.58579537
Gage Park,63,15.981319590140169,94.04283389063316,51437.81583984583,96.3642441485559,14.370921546
Clearing,64,9.540567367065504,54.12424920541278,83981.98063887071,60.96659187268782,36.586192601
West Lawn,65,12.873029233855457,84.02632872628269,68895.17858452561,87.95481761009304,27.904988513
Chicago Lawn,66,24.520729268388813,92.58611800019972,42755.60394011517,97.6352396192688,7.5000921144
West Englewood,67,33.10467564298479,95.18974819369222,37096.11143470096,98.54354094075764,2.4911385274
Englewood,68,35.54328851340933,97.17294451482854,28328.792419634363,98.81394592978582,2.0063658061
Greater Grand Crossing,69,25.45599808324508,88.36572605606776,36285.640086420375,99.166636451768,2.5939481016
Lincoln Park,7,3.661260029354545,2.331369515343504,135045.29259111753,19.7913279908336,88.611830476
Ashburn,70,12.429383389528011,64.30702454895456,87783.03165717158,90.00002409682254,24.757341353
Auburn Gresham,71,24.33482709857427,84.60847783431787,40103.25794178777,98.99409518514967,4.4247255284
Beverly,72,6.409909409888928,14.923076394173693,119840.36028945894,43.52193427711237,56.170100606
Washington Heights,73,18.426902921965592,73.53609033754964,62019.359572625326,98.3429485467147,21.55021485
Mount Greenwood,74,5.195723439805366,18.114876469392275,116182.1544161367,18.92221723014242,66.887752442
Morgan Park,75,11.994561098915788,55.26512227579755,73428.43364061083,69.4863053104536,34.783838815
O'Hare,76,9.060468542051415,49.412753209026015,75893.28043104787,32.64260056390062,50.401100486
Edgewater,77,6.783009189735081,34.91738196478729,72042.58227145877,46.26689005904003,47.757878694
Near North Side,8,4.490649098819959,7.337323601777133,123005.81649795336,30.16529364826736,77.868683042
Edison Park,9,4.117257063395023,6.173333995370961,112478.87572251551,17.26587856455736,66.051876825
